  Event #1  | Targets: ['L_T7']        | [WARNING] Missed Detection
  Event #2  | Targets: ['L_T7']        | [WARNING] Missed Detection
  Event #3  | Targets: ['L_T1']        | [WARNING] Missed Detection
  Event #4  | Targets: ['L_T1']        | [WARNING] Missed Detection
  Event #5  | Targets: ['F_PU7']       | [WARNING] Missed Detection
  Event #6  | Targets: ['F_PU7']       | [WARNING] Missed Detection
  Event #7  | Targets: ['F_PU7']       | [WARNING] Missed Detection
  Event #8  | Targets: ['L_T3']        | [WARNING] Missed Detection
  Event #9  | Targets: ['L_T2']        | [WARNING] Missed Detection
  Event #10 | Targets: ['F_PU3']       | [WARNING] Missed Detection
  Event #11 | Targets: ['F_PU3']       | [WARNING] Missed Detection
  Event #12 | Targets: ['F_PU3']       | [WARNING] Missed Detection
  Event #13 | Targets: ['L_T7']        | [WARNING] Missed Detection
  Event #14 | Targets: ['L_T4']        | [WARNING] Missed Detection
