  Event #1  | Targets: ['P1_B2016']    | [WARNING] Missed Detection
  Event #2  | Targets: ['P1_B3005']    | [WARNING] Missed Detection
  Event #3  | Targets: ['P1_LCV01D']   | [WARNING] Missed Detection
  Event #4  | Targets: ['P2_SCO']      | [WARNING] Missed Detection
  Event #5  | Targets: ['P2_AutoSD']   | [WARNING] Missed Detection
  Event #6  | Targets: ['P2_VTR02']    | [WARNING] Missed Detection
  Event #7  | Targets: ['P1_B2016', 'P1_PIT01'] | [WARNING] Missed Detection
  Event #8  | Targets: ['P1_LCV01D']   | [WARNING] Missed Detection
  Event #9  | Targets: ['P1_B3005', 'P1_FT03'] | [WARNING] Missed Detection
  Event #10 | Targets: ['P1_B2016']    | [WARNING] Missed Detection
  Event #11 | Targets: ['P1_FCV03D', 'P1_FT03'] | [WARNING] Missed Detection
  Event #12 | Targets: ['P2_VTR01']    | [WARNING] Missed Detection
  Event #13 | Targets: ['P1_B3004', 'P1_LIT01'] | [WARNING] Missed Detection
  Event #14 | Targets: ['P1_B3004']    | [WARNING] Missed Detection
  Event #15 | Targets: ['P1_PCV01D', 'P1_PIT01'] | [WARNING] Missed Detection
  Event #16 | Targets: ['P2_AutoSD']   | [WARNING] Missed Detection
  Event #17 | Targets: ['P2_AutoSD', 'P2_SIT01'] | [WARNING] Missed Detection
  Event #18 | Targets: ['P1_LCV01D', 'P1_LIT01'] | [WARNING] Missed Detection
  Event #19 | Targets: ['P1_PCV01D']   | [WARNING] Missed Detection
  Event #20 | Targets: ['P2_SCO', 'P2_SIT01'] | [WARNING] Missed Detection
  Event #21 | Targets: ['P1_FCV03D']   | [WARNING] Missed Detection
  Event #22 | Targets: ['P2_RTR']      | [WARNING] Missed Detection
  Event #23 | Targets: ['P1_FCV03D']   | [WARNING] Missed Detection
  Event #24 | Targets: ['P3_LCP01D']   | [WARNING] Missed Detection
  Event #25 | Targets: ['P2_LCV01D']   | [WARNING] Missed Detection
  Event #26 | Targets: ['P1_LCV01D', 'P1_B3005'] | [WARNING] Missed Detection
  Event #27 | Targets: ['P1_B2016', 'P1_PIT01', 'P1_B3005'] | [WARNING] Missed Detection
  Event #28 | Targets: ['P1_PCV01D', 'P1_LCV01D'] | [WARNING] Missed Detection
  Event #29 | Targets: ['P2_AutoSD', 'P2_VTR01'] | [WARNING] Missed Detection
  Event #30 | Targets: ['P2_SCO', 'P2_VTR02'] | [WARNING] Missed Detection
  Event #31 | Targets: ['P1_B2016', 'P2_AutoSD'] | [WARNING] Missed Detection
  Event #32 | Targets: ['P1_FCV03D', 'P2_VTR01'] | [WARNING] Missed Detection
  Event #33 | Targets: ['P1_LCV01D', 'P1_LIT01', 'P2_AutoSD'] | [WARNING] Missed Detection
  Event #34 | Targets: ['P1_PCV01D', 'P1_B3004', 'P1_LIT01'] | [WARNING] Missed Detection
  Event #35 | Targets: ['P1_B3005', 'P1_FT03', 'P2_LCV01D'] | [WARNING] Missed Detection
  Event #36 | Targets: ['P1_B3004', 'P1_LIT01', 'P2_LCV01D'] | [WARNING] Missed Detection
  Event #37 | Targets: ['P2_SCO', 'P2_SIT01', 'P1_LCV01D', 'P1_LIT01'] | [WARNING] Missed Detection
  Event #38 | Targets: ['P2_AutoSD', 'P2_LCV01D'] | [WARNING] Missed Detection
  Event #39 | Targets: ['P1_PCV01D', 'P2_VTR02'] | [WARNING] Missed Detection
  Event #40 | Targets: ['P1_FCV03D', 'P1_FT03', 'P2_SCO'] | [WARNING] Missed Detection
  Event #41 | Targets: ['P1_B3004', 'P1_LIT01', 'P2_SCO'] | [WARNING] Missed Detection
  Event #42 | Targets: ['P1_FCV03D', 'P2_LCV01D'] | [WARNING] Missed Detection
  Event #43 | Targets: ['P1_B3004', 'P2_AutoSD'] | [WARNING] Missed Detection
  Event #44 | Targets: ['P2_SCO', 'P2_SIT01', 'P2_LCV01D'] | [WARNING] Missed Detection
  Event #45 | Targets: ['P2_AutoSD', 'P2_VTR01'] | [WARNING] Missed Detection
  Event #46 | Targets: ['P1_FCV03D', 'P1_LCV01D'] | [WARNING] Missed Detection
  Event #47 | Targets: ['P1_B2016', 'P1_PCV01D'] | [WARNING] Missed Detection
  Event #48 | Targets: ['P1_B3004', 'P1_LCV01D', 'P1_LIT01'] | [WARNING] Missed Detection
  Event #49 | Targets: ['P2_RTR', 'P2_LCV01D'] | [WARNING] Missed Detection
  Event #50 | Targets: ['P1_B3005', 'P1_FCV03D', 'P1_FT03'] | [WARNING] Missed Detection
