  Event #1  | Targets: ['P1_B2016']    | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #2  | Targets: ['P1_B3005']    | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #3  | Targets: ['P1_LCV01D']   | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #4  | Targets: ['P2_SCO']      | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #5  | Targets: ['P2_AutoSD']   | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #6  | Targets: ['P2_VTR02']    | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #7  | Targets: ['P1_B2016', 'P1_PIT01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #8  | Targets: ['P1_LCV01D']   | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #9  | Targets: ['P1_B3005', 'P1_FT03'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #10 | Targets: ['P1_B2016']    | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #11 | Targets: ['P1_FCV03D', 'P1_FT03'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #12 | Targets: ['P2_VTR01']    | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #13 | Targets: ['P1_B3004', 'P1_LIT01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #14 | Targets: ['P1_B3004']    | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #15 | Targets: ['P1_PCV01D', 'P1_PIT01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #16 | Targets: ['P2_AutoSD']   | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #17 | Targets: ['P2_AutoSD', 'P2_SIT01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #18 | Targets: ['P1_LCV01D', 'P1_LIT01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #19 | Targets: ['P1_PCV01D']   | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #20 | Targets: ['P2_SCO', 'P2_SIT01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #21 | Targets: ['P1_FCV03D']   | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #22 | Targets: ['P2_RTR']      | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #23 | Targets: ['P1_FCV03D']   | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #24 | Targets: ['P3_LCP01D']   | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #25 | Targets: ['P2_LCV01D']   | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #26 | Targets: ['P1_LCV01D', 'P1_B3005'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #27 | Targets: ['P1_B2016', 'P1_PIT01', 'P1_B3005'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #28 | Targets: ['P1_PCV01D', 'P1_LCV01D'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #29 | Targets: ['P2_AutoSD', 'P2_VTR01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #30 | Targets: ['P2_SCO', 'P2_VTR02'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #31 | Targets: ['P1_B2016', 'P2_AutoSD'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
